,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISBSG dataÿ       Release               February 2015,6760 rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rating,Rating,Software Age,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Sizing,Sizing,Sizing,Sizing,Effort,Effort,Effort,Productivity,Productivity,Productivity,Other Metrics,Other Metrics,Other Metrics,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Quality Delivered,Quality Delivered,Quality Delivered,Quality Delivered,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,Project Attributes,Project Attributes,Project Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Other Size,Other Size,Other Size
32308,A,A,2006,Service Industry,Community Services;,Business Application,Catalogue/register of things or events;,New Development,Multi,3GL,JavaScript,IFPUG 4+,308,M2,308,1.00,4190,4190,4190,13.6,13.6,13.6,9.7,18.1,2.6,17.0,0.00,10-Feb-2006,Planning;Specification;Design;Build;Test;Implement;,,,,,,,4190,1,1,1,3,,,,,ISO 9001,,,,,Client server,Yes,Data retrieval & presentation;Web/HTML browser;,Database server;HTML/web server;,,,Web,,,,,,,,,Business Case;Feasibility Study;Project Schedule;Quality Plan;Risk Analysis;Software Development Plan;,System Concept Document;Requirements Specification;System Analysis Report;User Manual;Logical Data/ER Model;,Specification Review;,System Architecture Spec;Technical Specification;Database/Data File Design;,,Source Code/Objects;Database Objects;Unit Test Plans/Designs;,Unit Testing;Software Integration;System Integration;,Test Plans/Designs;Test Data;Incident/Defect Lists;,"Performance, Stress or Load Testing;",Release Description/Notes;Installation Software Utility;Incident/Defect Lists;End user Manual or Help;,,Manual supported by a tool;,IFPUG 4.2,IFPUG 4.2;,IFPUG rules;,,JavaScript;ASP;PL/I;,Windows;Z/OS;,,,DB2;,,Yes,,,,,,SQL;,,,,,No,Yes,Combined Developed/Purchased;,,,275,275,"Customer & users 1 org, team in another;",,,Recorded work on project tasks each day,1,5-8,7,,,,113,33,62,70,30,308,,,,,,,,,
32310,B,B,2012,Communication,Telecommunications;,Business Application,Integration;,Enhancement,,3GL,TIBCO,IFPUG 4+,84,S,84,,362,362,362,4.3,4.3,4.3,,15.8,,5.3,,13-May-2012,,,,,,,,362,,,,,,,,,,,,,,,,,,,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,TIBCO Business EventsTIBCO Integration Manager;,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32316,A,A,1999,Communication,Communications;,Business Application,Management Information System;,Enhancement,,4GL,SQL,IFPUG 4+,55,S,51,0.92,1083,1083,899,19.7,19.7,17.6,,18.3,3.1,3.0,,Jun-1999,Specification;Build;Test;,,296,,335,268,,0,,,,,Telecommunications;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4.0 & Addendum to existing standards,Addendum to existing standards;,Combined all tables into a single file;,,SQL Windows;SQL;SQL;,,,,,,,,,,,,,,,,,,No,,,,,,Outsourced for internal business unit;,,,Staff hours (recorded),1,5-8,6,6,100%,,32,0,16,7,0,0,55,0,,,,,,,
32318,B,A,2003,Banking,Banking;,Business Application,Financial transaction process/accounting;,Enhancement,MF,3GL,COBOL,NESMA,67,S,67,,1354,1745,1745,20.2,26.0,26.0,,7.1,0.8,9.5,,23-Nov-2003,,,,,,,,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budget;Project Schedule;Quality Plan;Resource Plan;Software Development Plan;,System Concept Document;Requirements Specification;Functional Specification;System Analysis Report;Logical Data/ER Model;Data Flow Model;Use Case Model;External/System Interface Specifications;,,System Architecture Spec;Technical Specification;Graphical Look & Feel;Component Designs;Database/Data File Design;Software Interface Designs;Detailed Design Documents;,,Source Code/Objects;Database Objects;Information/Text Content;Unit Test Plans/Designs;Integration Scripts/Checklist;Module/Unit/Class Designs;,,Test Plans/Designs;Test Scripts/Harnesses;Test Data;Incident/Defect Lists;,,Installation Procedures;Release Description/Notes;Incident/Defect Lists;Operation/Admin. Manual;,Prepare for Delivery/Installation;Acceptance/Beta Testing;Provide User Support;,Manual supported by a tool;,NESMA 2.0,NESMA 2.0;,Combined all tables into a single file;,,COBOL;,MVS;,,Yes,DB2;,No,No,No,,,Java;,Windows 2000;,No,No,No,Yes,,,Yes,Combined Developed/Purchased;,,,,,,,,Recorded work on project tasks each day,3,9-14,9,,,,24,25,4,14,0,10,57,0,,,,,,,
32322,B,B,2010,Medical & Health Care,Medical and Health Care;,,not recorded;,Enhancement,,,,IFPUG 4+,40,S,40,,141,141,69,3.5,3.5,1.7,,20.0,10.0,2.0,,16-Aug-2010,Build;Implement;,0,0,0,67,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,2,2,,,,,,,,,,,,,,,,,,
32325,B,B,2003,,,,,Enhancement,MR,3GL,C++,IFPUG 4+,53,S,53,,271,271,271,5.1,5.1,5.1,,8.5,,6.2,,09-Apr-2003,From Feasibility to Implementation;,,,,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.0,IFPUG 4.0;,,Midrange;,C++;,,,,,,,,,,,,,,,,,,,,,,,,,,,Recorded hours on each project/day/week,1,,,,,,,,,,,,,,,,,,,,
32327,B,B,2003,Communication,Communications;,Business Application,Business;Stock control & order processing;,Enhancement,MF,3GL,COBOL,NESMA,1468,L,1468,,3758,5872,3758,2.6,4.0,2.6,,183.5,,8.0,,,Design;Build;Test;,,,,,,,3758,,,,,,,,,,,,,,Stand alone,,,,,,,,,,,,,,,Budget;Project Schedule;Resource Plan;,Logical Data/ER Model;Functional Specification;,,Database/Data File Design;Detailed Design Documents;Software Interface Designs;,,Source Code/Objects;Unit Test Plans/Designs;Database Objects;,,Test Plans/Designs;Test Data;Incident/Defect Lists;,,Installation Procedures;Release Description/Notes;Incident/Defect Lists;Operation/Admin. Manual;Data Establishment Process;,,Manual global;,NESMA 2.0,NESMA 2.0;,,Mainframe;,COBOL;,Open VMS;,,,,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,,,,Recorded hours on each project/day/week,1,,,,,,,,,,,,,,,,,,"47,136",LOC Count Method Estimated;,
32332,B,,2010,Manufacturing,Manufacturing;,Business Application,Catalogue/register of things or events;Online analysis and reporting;,Enhancement,Multi,4GL,ABAP,COSMIC,9,XXS,,,205,205,80,22.8,22.8,8.9,,,,,,2010,Specification;Test;Implement;,,,,,,,80,,,,,,,,,,,,,,Multi-tier,,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,COSMIC 2.2,COSMIC 2.2;,,,,,,,,,,,SAP;,,,,,,,,,,,,,,,,,,,No timesheets recorded by dev. team,1,1,1,,,,,,,,,5,4,0,4,1,1,3,,,
32335,B,B,2012,Communication,Telecommunications;,Business Application,Integration;,Enhancement,,3GL,TIBCO,IFPUG 4+,136,M1,136,,421,421,421,3.1,3.1,3.1,,20.6,,6.6,,13-May-2012,,,,,,,,421,,,,,,,,,,,,,,,,,,,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,TIBCO Business EventsTIBCO Integration Manager;,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32336,B,B,2005,Communication,Communications;,Mathematically-Intensive Application,relatively complex application;,Enhancement,Multi,3GL,,IFPUG 4+,25,XS,25,,565,565,565,22.6,22.6,22.6,,,,,,first Quarter 2005,Build;,,,,,,,565,,,,,,,,,,,,,,Client server,Yes,,,,Client Server;,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG 4.2,IFPUG 4.2;,Code data not counted;,Client/server;,3GL;,,,,Interactive;,,,,,,,,,,,,,,Yes,,,,,,Outsourced for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32338,B,,2004,Communication,Telecommunication;,,,New Development,PC,3GL,C++,LOC,,,,,7490,7733,7733,,,,,,,5.0,,03-Dec-2004,,2132,0,762,3548,1048,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++;,Windows 95-2k;,,,P.SQL;,,,,% of language recorded 100%;,,,,,,,,,,,,,,,,,,,Recorded hours on each project/day/week,4,9-14,9,,,,,,,,,,,,,,,,"91,000",,
32346,B,B,2005,Communication,Communications;,Mathematically-Intensive Application,relatively complex application;,Enhancement,Multi,4GL,,IFPUG 4+,202,M1,202,,4985,4985,4985,24.7,24.7,24.7,,,,,,first Quarter 2005,,,,,,,,4985,,,,,,,,,,,,,,Client server,Yes,,,,Client Server;,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG 4.2,IFPUG 4.2;,Code data not counted;,Client/server;,5GL;,,,,Interactive;,,,,,,,,,,,,,,Yes,,,,,,Outsourced for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32347,B,B,2004,,,Business Application,Financial application area;,Enhancement,Multi,3GL,Java,IFPUG 4+,142,M1,142,,809,809,809,5.7,5.7,5.7,,23.7,,6.0,,,,,,,,,,809,,,,,,,,,,,,,,Multi-tier with web public interface,,,,,Web;,Web,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,Web;,Java / J2EE;,,,,Interactive;,,,,Average Complexity;,,,,,,,,,,Yes,Traditional;,,,,,,,,Staff hours (derived),1,,,,,,,,,,,,,,,,,,,,
32349,B,B,2011,Manufacturing,Manufacturing;,Business Application,Quality Factory Reporting;,Enhancement,MR,3GL,Java,IFPUG 4+,75,S,75,,,1211,1114,,16.1,14.9,0.0,18.3,,4.1,,19-Apr-2011,Specification;Design;Build;Test;Implement;,,,,,,,,,,,0,Manufacturing;,,,,,,,No,,Client server,Yes,,,Client server;,,,,,,,,,,,Budget;Project Schedule;Proposal/Tender;,Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;,,,,Source Code/Objects;Database Objects;,Unit Testing;Software Integration;,Test Plans/Designs;Incident/Defect Lists;Test Data;,,,,Wholly manual;,Addendum to existing standards,IFPUG 4.1;Addendum to existing standards;,,,JEE;,Unix;,,,Oracle;,,,,,,,,,,,,,Yes,Yes,Developed In-house;,,,,,In House;Good relationship;,,,Staff hours (recorded),,,,,,,,,,,,,,,,,,,,,
32350,B,B,2008,Government,Government;Defence;,Business Application,Financial transaction process/accounting;,Enhancement,MF,3GL,COBOL,IFPUG 4+,16,XS,16,,288,288,288,18.0,18.0,18.0,62.5,1.1,,14.6,,2008,,,,,,,,288,1,0,,1,,Software-CMM Level 3,,,,,,,,Stand alone,No,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,Mainframe;,COBOL;ASSEMBLER;,,,,,,,,Reporting;,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32353,B,A,1999,,,,,New Development,,3GL,,IFPUG 4+,1417,L,1417,1.00,20762,20762,20762,14.7,14.7,14.7,,283.4,18.9,5.0,0.00,Sep-1999,Planning;Specification;Build;Test;,1384,1938,,11626,5260,,554,,,,,,,,,,,,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,CPM4.0;Addendum to existing standards;,CPM4.0;Addendum to existing standards;,Don't Know;,,3GL;,,,,,,,,,,,,,,,,,Don't Know,Don't Know,,,,,,,,,Staff hours (recorded),1,15-20,15,3.3,,,,,,,,,,,,,,,"1,900",,
32354,B,A,2000,Wholesale & Retail,Wholesale & Retail Trade;,Business Application,Management Information System;,Enhancement,MF,3GL,COBOL,IFPUG 4+,99,S,114,1.15,,2289,2106,,23.1,18.5,,14.1,,7.0,,Oct-2000,Specification;Build;Test;Implement;,,,,,,,,,,,,,,,,,,,No,,,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4,IFPUG 4;,Counted if maintained through EI or another system,Mainframe;,COBOL;,Mainframe;,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),4,,,,,,12,20,40,10,17,13,86,0,,,,,,,
32355,B,C,2006,,,Business Application,Financial transaction process/accounting;,Enhancement,Multi,3GL,Java,IFPUG 4+,,S,59,,111,111,111,,,1.9,,,,1.3,,2006,,,,,,,,111,,,,,,,,,,,,,,,,,,,,Web,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Count does not include points for code tables;,,Java / similar;,,,,Interactive;,,,,Web e-bus;,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32360,B,B,2004,Government,Public Administration;,,,New Development,Multi,4GL,Oracle,FiSMA,151,M1,,,188,188,188,1.2,1.2,1.2,,,,3.0,0.07,31-Dec-2004,Planning;Specification;Design;Test;,,20,147,0,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Multi Platform;,Oracle;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32365,A,,2010,Communication,Telecommunications;,Business Application,Customer billing;,New Development,Multi,3GL,C++,LOC,,,,,8465,10186,9609,,,,,,,9.0,,,Planning;Specification;Design;Build;Test;,,,,,,,7957,9,3,2,21,,,CMMI Level 5,,ISO 9001:2008/ISO 27001,,,,,Client server,Yes,Business logic or rule processing;Data retrieval & presentation;Web public interface;,Database server;Multi-user legacy application;Security/authentication;,,,,Waterfall (includes Linear Processing);,,,,,,,,Budget;Business Case;Project Schedule;Quality Plan;Resource Plan;Risk Analysis;Project Mgt Plan;Software Development Plan;Vision/Objectives;,Requirements Specification;Functional Specification;System Analysis Report;User Manual;,Specification Review;,System Architecture Spec;Detailed Design Documents;,Structured Design;Design Review/Inspection;,Source Code/Objects;Database Objects;Unit Test Plans/Designs;Integration Scripts/Checklist;,Unit Testing;Code Review/Inspection;Software Integration;System Integration;,Test Plans/Designs;Test Data;,"Manual Testing;Performance, Stress or Load Testing;Regression Testing;",Installation Procedures;Release Description/Notes;End user Training Material;,Prepare for Delivery/Installation;Provide User Support;,Derived from lines of code count;,,,,,C++;,Linux;,Linux  RHEL 5 update 3 AND HP Unix 11.11i;,GDB;WDB;,INFORMIX;,,,,,,C++;,,,,,,shell script;Perl;,No,Yes,Developed In-house;,,3,60000000,,"Customer, users, team in different orgs;",,,Recorded work on project tasks each day,4,9-14,11,8.1,,,,,,,,,,,,,,,"166,000",,
32366,B,B,2003,,,,,Enhancement,MR,3GL,C++,IFPUG 4+,10,XS,10,,346,346,346,34.6,34.6,34.6,,2.9,,3.5,,10-Nov-2003,From Feasibility to Implementation;,,,,,,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.0,IFPUG 4.0;,,Midrange;,C++;,,,,,,,,,,,,,,,,,,,,,,,,,,,Recorded hours on each project/day/week,1,,,,,,,,,,,,,,,,,,,,
32369,B,B,2000,Banking,Banking;,,,New Development,MR,3GL,,FiSMA,254,M1,,,1332,1332,946,5.2,5.2,3.7,,,,11.0,0.00,31-Oct-2000,Design;Build;Test;Implement;,,,150,650,100,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Midrange;,3GL;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32372,A,A,2006,Government,Government;,Business Application,Management of Licences and Permits;,Enhancement,MF,ApG,COOL:Gen,IFPUG 4+,180,M1,216,1.20,1464,1464,937,8.1,8.1,4.3,0.0,,,,,Feb-2006,Build;Test;,,,,588,349,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Yes - inhouse;,Yes - inhouse;,,Yes - inhouse;,,Yes - inhouse;,,Yes - inhouse;,,Yes - inhouse;,,Wholly manual;,IFPUG 4.2,IFPUG 4.2;,,,COOL:Gen;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,158,10,12,0,0,68,112,0,,,,,,,
32379,B,A,2002,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;,Enhancement,MF,3GL,COBOL,IFPUG 4+,81,S,105,1.30,1214,1214,1214,15.0,15.0,11.6,,,,,,,,,,,,,,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,,COBOL II;ASSEMBLER;PL/I;SQL;Gupta;Shell;C;,MVS;UNIX;,,,Interactive;,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32380,B,B,2010,Manufacturing,Manufacturing;,Business Application,Project's management;,New Development,Multi,3GL,Java,IFPUG 4+,291,M1,291,,,1926,1772,,6.6,6.1,0.0,36.4,,8.0,,13-Jan-2010,Specification;Design;Build;Test;Implement;,,,,,,,,,,,0,General;,,,,,,,,0%,Client server,Yes,,,Client server;,,,,,,,,,,,Budget;Project Schedule;Proposal/Tender;,Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;,,,,Source Code/Objects;Database Objects;,Unit Testing;Software Integration;,Test Plans/Designs;Incident/Defect Lists;Test Data;,,,,Wholly manual;,Addendum to existing standards,IFPUG 4.1;Addendum to existing standards;,,,Java;JEE;,UNIX;,,,MySQL;,,,,Linux;,,,,,,,,,Yes,Yes,Developed In-house;,,,,,"Customer, users & team in same org;Purchased;",,,Staff hours (recorded),3,,,,,,,,,,,,,,,,,,,,
32385,B,A,2002,Communication,Voice Provisioning;,,Voice Provisioning;,Enhancement,MF,3GL,C++,IFPUG 4+,99,S,108,1.09,2815,2815,2815,28.4,28.4,26.1,,,,,,Apr-2002,,,,,,,,2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,UNIX;,C++;Calibrated;HTML;Java;Perl;SQL;,UNIX;,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32394,B,A,2002,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,Enhancement,Multi,3GL,Visual Basic,IFPUG 4+,203,M1,203,,2577,2577,2577,12.7,12.7,12.7,,70.0,,2.9,0.00,29-Mar-2002,Planning;Specification;Build;Test;Implement;,,,,,,,2577,,,,,Don't Know;,,,,,,,No,,Multi-tier / Client server,Yes,,,,C/S;,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,PC;,VB;,Windows NT;,,,SQL Server;,,,,,,,,,,,,,No,Don't Know,,,,,,,,,Staff hours (derived),1,,,,100%,Unable to estimate,10,43,45,79,26,61,142,0,,,,,,,
32397,B,A,2002,Banking,Banking;,Business Application,Financial transaction process/accounting;,Enhancement,Multi,3GL,C++,IFPUG 4+,48,S,48,,186,186,186,3.9,3.9,3.9,,25.3,,1.9,0.00,31-Mar-2002,Planning;Specification;Build;Test;,,,,,,,186,,,,,Don't Know;,,,,,,,No,,Multi-tier / Client server,Yes,,,,C/S;,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,MR;,C/C++;,HP-UX;,,,Oracle;,,,,,,,,,,,,,No,Don't Know,,,,,,,,,Staff hours (recorded),1,,,,100%,Unable to estimate,0,0,0,28,20,0,48,0,,,,,,,
32401,B,B,2013,Medical & Health Care,Medical and Health Care;,,not recorded;,Enhancement,,,,IFPUG 4+,79,S,79,,4995,4995,4995,63.2,63.2,63.2,,7.2,0.2,11.0,,23-Jul-2013,Planning;Specification;Design;Build;Test;Implement;Proj Management;,188,414,738,1453,1603,268,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,41-50,46,,,,,,,,,,,,,,,,,,
32402,B,B,1999,,,Business Application,Management Information System;,New Development,MF,3GL,COBOL,IFPUG 4+,183,M1,183,,,9600,7200,,52.5,39.3,,,,,,,Planning;Build;Test;Implement;,,,,,,,,,,,,,,,,,,,No,,Stand alone,No,,,,,,,,,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4,IFPUG 4;,,TANDEM;,COBOL;,,,Don't Know,,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,,,,Staff hours (recorded),4,2,2,,,,,,,,,,,,,,,,,,
32409,B,A,1995,Professional Services,Environmental Monitoring;Public Administration;,Business Application,Management Information System;,New Development,MR,4GL,Oracle,IFPUG 4+,398,M2,442,1.11,749,749,749,1.9,1.9,1.7,,117.1,,3.4,,Mar-1995,,,,,,,,749,,,,,Environment;,,,,,,,No,,,,,,,,,Joint Application Development (JAD);,Business Area Modelling;Data Modelling;Process Modelling;Prototyping;,Yes,,,,,Yes,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4,IFPUG 4;,Counted each table as a logical file;,VAX;PC;,Oracle;,VMS;Windows;,,,Oracle;,,,,,,,,,,,,,Yes,Yes,Developed In-house;,<2,<2,,>5,In-house for internal business unit;,,,Staff hours (recorded),1,,,,,,81,160,75,52,30,398,,,,,,,,,
32414,B,A,2002,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,Enhancement,MF,3GL,COBOL,IFPUG 4+,104,M1,104,,7677,7677,7140,73.8,73.8,68.7,,17.3,,6.0,0.00,30-Sep-2002,Planning;Specification;Build;Test;,,,,,,,7140,,,,,Don't Know;,,,,,,,No,,,Don't Know,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,MF;,COBOL/MVS;,MVS;,,,IMS;,,,,,,,,,,,,,No,Yes,Developed In-house;,,,,,,,,Staff hours (recorded),1,,,,100%,under 5%,30,33,0,0,41,86,18,0,,,,,,,
32415,B,C,2004,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;Client Server;,Enhancement,Multi,4GL,,IFPUG 4+,,S,69,,457,457,457,,,6.6,,,,3.0,0.00,31-Mar-2004,,,,,,,,457,,,,,,,,,,,,,,Client server,Yes,,,,Client Server;,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Code data not counted;,Client/server;,4GL;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32427,B,B,2012,Communication,Telecommunications;,Business Application,Customer relationship management;,Enhancement,Multi,3GL,Java,IFPUG 4+,79,S,79,,212,212,212,2.7,2.7,2.7,,14.1,,5.6,,19-Nov-2012,,,,,,,,212,,,,,,,,,,,,,,Multi-tier,,,,,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,Java;,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32429,B,C,2006,Communication,Communications;,Real-Time Application,Embedded system/real-time application;,Enhancement,Multi,3GL,,IFPUG 4+,,S,50,,327,327,327,,,6.5,,,,,,2006,,,,,,,,327,,,,,,,,,,,,,,Client server,Yes,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Count does not include points for code tables;,,3GL;,,,,Interactive;,,,,Client/server;,,,,,,,,,,Yes,,,,,,,DE   (Mobile or Device Embedded),,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32434,B,B,2013,Communication,Telecommunications;,Business Application,Online. eSales;,Enhancement,Multi,,,IFPUG 4+,218,M1,218,,385,385,385,1.8,1.8,1.8,,87.2,,2.5,,09-Sep-2013,,,,,,,,385,,,,,,,,,,,,,,Multi-tier,,,,,,Web,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
32438,B,A,1998,,,,,New Development,,3GL,Visual Basic,IFPUG 4+,224,M1,224,1.00,2767,2767,2767,12.4,12.4,12.4,,37.3,7.5,6.0,0.00,Oct-1998,Planning;Specification;Build;Test;,494,69,,900,640,,664,,,,,,,,,,,,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,CPM4.0;Addendum to existing standards;,CPM4.0;Addendum to existing standards;,Don't Know;,,VB;C;,,,,,,,,,,,,,,,,,Don't Know,Don't Know,,,,,,,,,Staff hours (recorded),1,5-8,5,3,,,,,,,,,,,,,,,"33,500",,
32441,B,A,2002,,,,,New Development,,,,IFPUG 4+,1028,L,1028,1.00,819,819,762,0.8,0.8,0.7,,,,,,,Planning;Specification;Build;Test;,170,264,,30,298,,0,,,,,,,,,,,,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,CPM4.0;Addendum to existing standards;,CPM4.0;Addendum to existing standards;,Don't Know;,,,,,,,,,,,,,,,,,,,Don't Know,Don't Know,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
